Id,Adult,Ages,ColleagueSatisfaction,CompaniesWorkedCount,CompanyDuration,Division,DurationWithCurrManager,EducationBackground,EducationField,HomeDist,JobEngagement,JobLvl,LastPromotion,MarriageStatus,MonthlyPay,Outstation,Performance,Role,RoleDuration,SalaryIncreaseRate,Sex,StockOptionLvl,TrainingCount,WorkLifeQuality,WorkOverTime,WorkSatisfaction,WorkingDuration,WorkingHours,WorkplaceSatisfaction,Resigned
267,Y,35,Very High,1.0,2.0,Human Resources,2,Master,Technical Degree,8.0,High,1,1,Married,2805.0,rare,High,Human Resources,2,17,Female,0.0,0,Better,No,High,2,80,Low,1
268,Y,39,High,0.0,14.0,Sales,14,Bachelor,Life Sciences,2.0,High,3,3,Divorced,7579.0,rare,High,Sales Executive,11,12,Male,2.0,4,Good,No,High,15,80,Low,0
269,Y,56,Medium,2.0,6.0,Research & Development,8,Secondary,Medical,6.0,High,5,2,Divorced,14108.0,rare,High,Manager,7,21,Female,1.0,4,Better,No,High,24,80,Very High,0
270,Y,31,High,2.0,4.0,Research & Development,2,Bachelor,Life Sciences,1.0,Low,2,0,Single,18576.0,rare,Very High,Manufacturing Director,4,24,Female,0.0,1,Better,No,Very High,10,80,High,0
271,Y,41,Very High,6.0,2.0,Research & Development,2,Bachelor,Medical,5.0,High,1,1,Married,3698.0,rare,Very High,Laboratory Technician,2,25,Male,0.0,1,Bad,Yes,Low,7,80,Very High,1
272,Y,30,Low,0.0,4.0,Research & Development,3,Primary,Life Sciences,12.0,Low,1,0,Married,20130.0,rare,High,Research Scientist,4,21,Female,1.0,1,Good,Yes,Very High,5,80,Medium,0
273,Y,46,Very High,8.0,4.0,Research & Development,3,Bachelor,Medical,3.0,High,2,1,Single,4348.0,rare,High,Healthcare Representative,2,12,Male,0.0,1,Good,No,Medium,9,80,Very High,0
274,Y,31,Medium,6.0,3.0,Sales,2,Master,Marketing,6.0,High,2,0,Divorced,9840.0,rare,High,Sales Executive,2,15,Female,2.0,2,Better,No,Low,7,80,Very High,0
275,Y,35,High,1.0,1.0,Research & Development,0,Master,Medical,6.0,High,1,0,Single,16592.0,rare,High,Research Scientist,0,14,Male,0.0,3,Bad,No,Very High,1,80,Low,0
276,Y,33,High,1.0,2.0,Research & Development,2,Bachelor,Other,10.0,Medium,1,1,Married,5897.0,frequent,Very High,Laboratory Technician,2,24,Female,1.0,1,Better,No,Medium,2,80,High,0
277,Y,41,Very High,1.0,9.0,Research & Development,10,Secondary,Medical,8.0,High,2,4,Married,9516.0,rare,Very High,Manufacturing Director,0,31,Male,1.0,2,Better,No,Low,9,80,Low,0
278,Y,59,Low,3.0,5.0,Research & Development,2,Bachelor,Life Sciences,6.0,Low,3,0,Single,16329.0,rare,High,Manufacturing Director,4,11,Male,0.0,2,Good,No,Very High,34,80,Very High,0
279,Y,25,High,4.0,2.0,Research & Development,2,Bachelor,Medical,2.0,High,1,0,Married,7396.0,rare,High,Laboratory Technician,2,14,Male,1.0,4,Better,No,Low,5,80,Low,1
280,Y,54,Very High,4.0,4.0,Research & Development,2,Bachelor,Medical,1.0,Low,2,0,Divorced,12425.0,rare,High,Manufacturing Director,1,21,Male,1.0,2,Better,No,Medium,12,80,Very High,0
281,Y,61,High,2.0,,Research & Development,6,Bachelor,Medical,1.0,High,5,0,Married,16879.0,rare,Very High,Research Director,8,25,Female,1.0,2,Better,Yes,Low,29,80,Very High,0
282,Y,44,High,1.0,18.0,Sales,6,Primary,Life Sciences,1.0,High,2,7,Married,18387.0,rare,Very High,Sales Executive,18,31,Male,0.0,2,Better,No,High,18,80,Medium,0
283,Y,42,Medium,,4.0,Research & Development,0,Master,Life Sciences,8.0,High,1,0,Single,16425.0,rare,High,Laboratory Technician,4,15,Male,0.0,2,Bad,No,Low,13,80,Very High,1
284,Y,18,Very High,1.0,0.0,Sales,0,Bachelor,Marketing,4.0,High,1,0,Single,6426.0,frequent,High,Sales Representative,0,15,Male,0.0,2,Better,Yes,Medium,0,80,Medium,1
285,Y,53,Very High,2.0,0.0,Sales,0,Master,Other,1.0,High,2,0,Single,13100.0,frequent,High,Sales Executive,0,15,Male,0.0,3,Better,Yes,High,4,80,Very High,1
286,Y,26,High,,,Human Resources,4,Secondary,Medical,16.0,High,1,0,Married,5576.0,rare,High,Human Resources,1,11,Female,,2,Better,Yes,Medium,5,80,Very High,1
287,Y,26,High,1.0,3.0,Research & Development,2,Master,Medical,14.0,Low,1,0,Married,5088.0,rare,High,Laboratory Technician,2,17,Male,3.0,2,Best,No,High,3,80,Very High,0
288,Y,25,High,1.0,6.0,Research & Development,8,Primary,Life Sciences,1.0,Very High,2,0,Divorced,4185.0,frequent,High,Manufacturing Director,7,19,Male,2.0,4,Better,No,High,6,80,Very High,0
289,Y,45,Low,1.0,18.0,Research & Development,9,Bachelor,Medical,5.0,Medium,2,0,Single,15098.0,rare,High,Research Scientist,7,15,Female,0.0,2,Bad,Yes,High,18,80,Low,0
290,Y,37,Medium,1.0,15.0,Research & Development,9,Bachelor,Technical Degree,7.0,High,3,8,Divorced,6529.0,rare,High,Healthcare Representative,15,14,Female,3.0,1,Better,No,High,15,80,High,0
291,Y,19,Medium,1.0,1.0,Sales,0,Bachelor,Other,17.0,Medium,1,0,Single,7797.0,rare,High,Sales Representative,0,14,Male,0.0,2,Best,Yes,Medium,1,80,Very High,1
292,Y,58,Very High,4.0,4.0,Research & Development,4,Bachelor,Medical,1.0,High,5,0,Married,15967.0,rare,High,Manager,2,14,Male,1.0,1,Better,Yes,Low,22,80,Very High,1
293,Y,25,Low,1.0,4.0,Sales,3,Primary,Marketing,3.0,Medium,2,0,Married,13756.0,rare,High,Sales Executive,2,12,Male,0.0,0,Best,No,Low,4,80,High,0
294,Y,33,High,6.0,6.0,Research & Development,8,Master,Medical,1.0,Very High,2,0,Single,8239.0,rare,High,Research Scientist,7,18,,0.0,0,Good,No,Very High,9,80,Low,0
295,Y,35,High,2.0,0.0,Research & Development,0,Doctorate,Life Sciences,7.0,High,2,0,Divorced,3614.0,rare,High,Manufacturing Director,0,15,Female,1.0,2,Better,No,Low,6,80,Medium,0
296,Y,34,Very High,0.0,8.0,Sales,9,Doctorate,Marketing,8.0,Very High,3,0,Divorced,16336.0,rare,High,Sales Executive,8,15,Male,2.0,2,Better,Yes,High,9,80,Very High,0
297,Y,37,Very High,2.0,13.0,Sales,14,Bachelor,Marketing,6.0,Very High,2,4,Married,2216.0,frequent,High,Sales Executive,7,18,Female,1.0,1,Good,No,Low,15,80,Low,0
298,Y,20,Very High,1.0,1.0,Research & Development,1,Primary,Medical,8.0,High,1,0,Single,,rare,High,Research Scientist,0,11,Male,0.0,4,Better,Yes,High,1,80,Very High,1
299,Y,33,High,7.0,0.0,Sales,0,Master,Marketing,8.0,High,2,0,Single,19507.0,frequent,High,Sales Executive,0,14,Male,0.0,1,Best,No,Very High,3,80,Very High,0
300,Y,29,High,1.0,3.0,Research & Development,2,Bachelor,Medical,1.0,High,1,0,Married,9809.0,rare,Very High,Research Scientist,2,31,Female,1.0,2,Better,No,Low,3,80,High,0
301,Y,24,High,0.0,2.0,Sales,1,Bachelor,Medical,20.0,High,1,1,Married,4589.0,frequent,High,Sales Representative,2,14,,2.0,2,Better,No,Very High,3,80,Very High,0
302,Y,39,Medium,6.0,1.0,Research & Development,0,Primary,Medical,24.0,High,2,0,Married,8818.0,rare,High,Healthcare Representative,0,22,Male,0.0,1,Better,Yes,Low,15,80,Medium,1
303,Y,33,Very High,0.0,5.0,Research & Development,6,Secondary,Life Sciences,4.0,Very High,1,0,Divorced,11504.0,rare,High,Research Scientist,2,12,Male,2.0,4,Good,Yes,Medium,6,80,Low,0
304,Y,27,Medium,2.0,5.0,Sales,0,Primary,Life Sciences,1.0,Low,2,0,Single,15381.0,frequent,Very High,Sales Executive,2,24,Male,0.0,2,Better,No,Very High,7,80,Very High,0
305,Y,31,Low,0.0,4.0,Human Resources,3,Bachelor,Life Sciences,1.0,High,1,0,Divorced,11776.0,rare,Very High,Human Resources,3,25,Male,1.0,2,Best,No,High,5,80,High,0
306,Y,20,Low,1.0,1.0,Research & Development,0,Bachelor,Medical,8.0,Medium,1,0,Single,13843.0,rare,High,Research Scientist,0,17,Female,0.0,1,Better,Yes,Low,1,80,Very High,1
307,Y,30,Medium,1.0,10.0,Research & Development,10,Primary,Medical,16.0,High,1,2,Married,5659.0,frequent,High,Laboratory Technician,8,14,Male,0.0,2,Best,No,Very High,10,80,Very High,0
308,Y,42,Very High,0.0,4.0,Research & Development,3,Primary,Medical,1.0,Medium,1,1,Single,17223.0,rare,Very High,Research Scientist,2,24,Female,0.0,1,Good,Yes,Very High,4,80,Very High,0
309,Y,25,Medium,,4.0,Sales,1,Master,Life Sciences,8.0,High,2,0,Single,15548.0,rare,High,Sales Executive,3,15,Male,0.0,3,Better,No,Very High,4,80,High,0
310,Y,30,High,8.0,4.0,Research & Development,2,Master,Medical,8.0,High,1,0,Married,19026.0,rare,High,Laboratory Technician,3,19,Female,1.0,1,Better,No,High,8,80,Very High,0
311,Y,42,High,2.0,10.0,Sales,10,Secondary,Marketing,1.0,High,2,3,Married,3666.0,rare,High,Sales Executive,8,15,Female,1.0,3,Better,No,Medium,13,80,Medium,0
312,Y,39,Medium,0.0,2.0,Research & Development,2,Primary,Medical,8.0,High,1,0,Married,9379.0,frequent,High,Research Scientist,1,19,Male,1.0,0,Good,No,High,3,80,High,0
313,Y,30,Low,1.0,9.0,Sales,10,Secondary,Life Sciences,1.0,High,2,0,Single,15285.0,frequent,High,Sales Executive,7,21,Male,0.0,2,Good,No,Very High,9,80,Medium,0
314,Y,44,High,0.0,3.0,Human Resources,0,Primary,Technical Degree,1.0,High,1,0,Divorced,18013.0,rare,High,Human Resources,2,11,Male,1.0,4,Better,Yes,High,3,80,High,0
315,Y,32,Very High,2.0,2.0,Human Resources,0,Bachelor,Human Resources,1.0,Medium,2,0,Married,13515.0,rare,High,Human Resources,2,12,Male,0.0,0,Better,No,Low,8,80,Low,0
316,Y,30,Very High,0.0,8.0,Research & Development,9,Secondary,Life Sciences,12.0,Medium,2,0,Single,9782.0,rare,High,Laboratory Technician,5,12,Female,0.0,2,Better,Yes,High,9,80,Very High,0
317,Y,55,Medium,6.0,2.0,Research & Development,2,Bachelor,Life Sciences,1.0,Medium,1,1,Single,2970.0,rare,High,Laboratory Technician,2,17,Female,0.0,2,Good,No,Very High,5,80,High,0
318,Y,27,High,1.0,0.0,Research & Development,0,Bachelor,Medical,2.0,High,1,0,Married,12606.0,no travel,High,Research Scientist,0,11,Male,3.0,4,Good,No,Very High,0,80,Very High,0
319,Y,49,Very High,2.0,6.0,Sales,8,Master,Marketing,11.0,High,2,0,Single,9160.0,rare,High,Sales Executive,7,12,Male,0.0,1,Better,No,Low,18,80,Very High,0
320,Y,61,Very High,1.0,36.0,Research & Development,6,Master,Medical,19.0,High,3,10,Married,3090.0,rare,High,Healthcare Representative,11,12,Female,1.0,2,Good,No,Very High,36,80,Very High,1
321,Y,31,High,7.0,2.0,Sales,2,Primary,Life Sciences,13.0,High,2,1,Married,2708.0,rare,High,Sales Executive,1,17,Male,2.0,1,Good,No,High,3,80,Very High,0
322,Y,33,Very High,3.0,7.0,Research & Development,8,Secondary,Life Sciences,1.0,High,2,0,Single,2272.0,frequent,High,Research Scientist,7,15,Female,0.0,1,Better,Yes,High,9,80,Very High,0
323,Y,52,Low,3.0,3.0,Research & Development,2,Secondary,Medical,2.0,Medium,2,0,Married,17325.0,rare,Very High,Laboratory Technician,2,31,Female,1.0,2,Better,No,Low,9,80,High,0
324,Y,37,Low,5.0,1.0,Sales,0,Master,Life Sciences,1.0,High,2,0,Single,16147.0,rare,High,Sales Executive,0,14,Female,0.0,4,Better,No,High,13,80,Medium,0
325,Y,23,Very High,1.0,2.0,Research & Development,2,Primary,Medical,8.0,Very High,1,0,Single,14827.0,rare,High,Research Scientist,2,21,Male,0.0,2,Better,No,High,2,80,Low,0
326,Y,43,High,,1.0,Sales,0,Bachelor,Life Sciences,5.0,High,3,0,Single,11229.0,rare,High,Manager,0,21,Female,0.0,2,Better,Yes,Very High,14,80,Very High,0
327,Y,53,Very High,3.0,2.0,Sales,1,Bachelor,Marketing,9.0,High,3,1,Single,5399.0,frequent,High,Sales Executive,2,11,Female,0.0,2,Better,No,Very High,14,80,High,0
328,Y,32,Low,1.0,3.0,Sales,2,Bachelor,,1.0,High,1,1,Single,6614.0,frequent,High,Sales Representative,2,11,Female,0.0,1,Best,Yes,Medium,3,80,Very High,1
329,Y,53,Very High,4.0,4.0,Research & Development,3,Bachelor,Medical,1.0,High,4,0,Married,5570.0,rare,High,Research Director,3,18,Male,0.0,2,Better,No,High,27,80,High,0
330,Y,21,Low,,3.0,Research & Development,0,Secondary,Medical,2.0,Medium,1,0,Single,8221.0,rare,High,Research Scientist,2,19,Male,0.0,3,Best,No,High,3,80,Very High,0
331,Y,45,Low,1.0,9.0,Sales,9,Bachelor,Medical,1.0,High,2,5,Married,4981.0,rare,High,Sales Executive,10,19,Male,1.0,2,Better,Yes,Very High,9,80,Very High,0
332,Y,26,Low,1.0,4.0,Research & Development,3,Secondary,Medical,1.0,Medium,1,0,Married,8663.0,rare,High,Laboratory Technician,3,18,Male,2.0,1,Better,No,Low,5,80,Low,0
333,Y,47,Very High,8.0,18.0,Research & Development,9,Secondary,Medical,1.0,Medium,4,7,Married,15431.0,no travel,Very High,Manager,8,28,Male,1.0,0,Better,No,Very High,20,80,Low,0
334,Y,29,High,0.0,4.0,Research & Development,2,Master,Medical,1.0,High,1,0,Single,5542.0,frequent,High,Laboratory Technician,2,11,Male,0.0,1,Good,Yes,High,4,80,Very High,0
335,Y,39,Very High,4.0,10.0,Human Resources,9,Bachelor,Human Resources,1.0,High,1,2,Divorced,5750.0,no travel,High,Human Resources,11,14,Male,3.0,2,Better,No,Medium,12,80,Low,0
336,Y,45,Very High,3.0,4.0,Research & Development,2,Master,Other,7.0,High,2,0,Divorced,2191.0,rare,High,Healthcare Representative,2,15,Female,0.0,2,Better,Yes,High,7,80,High,0
337,Y,39,Medium,0.0,,Research & Development,9,Bachelor,Life Sciences,19.0,Medium,3,0,Single,6954.0,frequent,Very High,Manufacturing Director,7,25,Male,0.0,1,Better,No,High,9,80,Very High,0
338,Y,37,Low,1.0,13.0,Sales,12,Master,Marketing,12.0,Low,2,7,Divorced,8152.0,no travel,Very High,Sales Executive,13,29,Male,1.0,3,Good,No,Very High,13,80,Very High,0
339,Y,24,Low,2.0,2.0,Research & Development,0,Bachelor,Medical,1.0,High,1,1,Married,2767.0,rare,High,Research Scientist,0,18,Male,1.0,1,Good,Yes,Very High,5,80,Medium,1
340,Y,31,Medium,1.0,1.0,Research & Development,0,Primary,Life Sciences,20.0,High,1,0,Divorced,10257.0,rare,Very High,Laboratory Technician,0,26,Male,1.0,1,Better,No,High,1,80,Very High,0
341,Y,33,Very High,1.0,12.0,Sales,10,Secondary,Technical Degree,7.0,Medium,2,7,Married,18453.0,rare,High,Sales Executive,13,11,Female,0.0,1,Better,Yes,Medium,12,80,High,0
342,Y,33,Low,2.0,4.0,Research & Development,3,Secondary,Life Sciences,4.0,Very High,1,0,Single,11696.0,frequent,High,Research Scientist,1,15,Female,0.0,1,Better,Yes,High,7,80,Low,1
343,Y,27,Medium,0.0,4.0,Sales,2,Primary,Marketing,1.0,High,1,0,Divorced,12443.0,rare,High,Sales Representative,3,11,Male,1.0,2,Better,No,Low,4,80,High,1
344,Y,42,Low,1.0,9.0,Research & Development,4,Bachelor,Technical Degree,8.0,High,2,6,Married,20069.0,frequent,High,Laboratory Technician,10,11,Female,1.0,1,Best,No,High,9,80,Very High,0
345,Y,54,Medium,,4.0,Research & Development,3,Master,Life Sciences,8.0,High,1,0,Married,14170.0,rare,Very High,Laboratory Technician,2,28,Male,2.0,3,Better,No,Very High,9,80,Very High,0
346,Y,53,Very High,2.0,11.0,Research & Development,6,Bachelor,Life Sciences,20.0,High,4,0,Married,3595.0,rare,High,Manufacturing Director,12,21,Male,1.0,1,Better,Yes,High,20,80,Very High,0
347,Y,33,Very High,1.0,9.0,Sales,3,Secondary,Life Sciences,4.0,High,2,3,Married,7030.0,frequent,High,Sales Executive,8,15,Male,1.0,2,Better,No,Medium,9,80,Medium,0
348,Y,44,Medium,3.0,1.0,Research & Development,0,Bachelor,Medical,1.0,Medium,1,0,Married,18038.0,rare,High,Laboratory Technician,0,15,Male,1.0,2,Better,No,Medium,3,80,High,0
349,Y,48,High,3.0,8.0,Sales,9,Master,Marketing,4.0,High,2,0,Single,15419.0,frequent,Very High,Sales Executive,6,25,Male,0.0,3,Better,Yes,Very High,13,80,Low,0
350,Y,31,Low,0.0,3.0,Research & Development,2,Bachelor,Medical,4.0,High,1,0,Single,19253.0,frequent,High,Laboratory Technician,2,19,Female,0.0,2,Better,No,Medium,3,80,Medium,1
351,Y,25,Very High,1.0,4.0,Sales,3,Primary,Other,2.0,High,2,0,Married,11003.0,rare,High,Sales Executive,3,21,Male,0.0,2,Better,Yes,Low,4,80,High,0
352,Y,35,High,1.0,4.0,Research & Development,0,Primary,Technical Degree,22.0,Medium,1,0,Divorced,12112.0,no travel,Very High,Research Scientist,4,24,,3.0,1,Better,No,High,4,80,Low,0
353,Y,47,Low,1.0,9.0,Research & Development,4,Doctorate,Medical,4.0,Low,2,0,Single,17599.0,rare,High,Laboratory Technician,7,15,Female,0.0,2,Better,Yes,Low,9,80,High,0
354,Y,44,Medium,2.0,4.0,Research & Development,2,Secondary,Medical,17.0,High,2,0,Divorced,12510.0,no travel,High,Manufacturing Director,3,18,Female,1.0,4,Better,No,High,10,80,High,0
355,Y,55,High,2.0,8.0,Research & Development,0,Master,Medical,21.0,Medium,4,0,Married,14390.0,frequent,Very High,Manufacturing Director,8,26,Female,0.0,2,Better,No,Very High,28,80,High,0
356,Y,36,Very High,1.0,4.0,Sales,2,Secondary,Marketing,8.0,High,2,0,Divorced,14007.0,frequent,High,Sales Executive,2,11,Male,1.0,2,Better,No,Very High,4,80,Very High,0
357,Y,33,High,1.0,1.0,Sales,0,Primary,Life Sciences,1.0,High,1,0,Divorced,11427.0,no travel,High,Sales Representative,0,12,Female,3.0,2,Better,No,Low,1,80,High,0
358,Y,35,Very High,0.0,8.0,Research & Development,6,Bachelor,Life Sciences,8.0,High,3,0,Divorced,4563.0,rare,High,Healthcare Representative,7,11,Male,1.0,0,Good,No,Very High,9,80,Very High,0
359,Y,57,Medium,3.0,6.0,Research & Development,8,Master,Medical,6.0,High,2,0,,11971.0,rare,High,Research Scientist,1,17,Female,1.0,1,Good,No,Very High,13,80,Very High,0
360,Y,46,High,5.0,4.0,Research & Development,2,Bachelor,Medical,1.0,High,1,0,Single,10320.0,rare,High,Research Scientist,3,12,Male,0.0,1,Better,Yes,Very High,5,80,Medium,0
361,Y,37,Very High,1.0,9.0,Human Resources,9,Primary,Human Resources,1.0,Medium,2,0,Single,3640.0,frequent,Very High,Human Resources,1,25,Male,0.0,1,Good,No,Very High,9,80,Medium,0
362,Y,47,High,3.0,3.0,Research & Development,2,Bachelor,Medical,6.0,High,1,0,Married,15169.0,rare,High,Research Scientist,2,22,Female,1.0,1,Good,Yes,High,6,80,Low,0
363,Y,52,Medium,2.0,7.0,Research & Development,8,Master,Life Sciences,6.0,High,3,0,Divorced,15784.0,rare,High,Healthcare Representative,7,15,Male,2.0,2,Better,No,Medium,26,80,High,0
364,Y,48,Medium,5.0,7.0,Research & Development,8,Secondary,Medical,6.0,High,3,0,Divorced,18151.0,rare,High,Manufacturing Director,7,14,Male,1.0,2,Better,No,High,12,80,Very High,0
365,Y,31,Very High,1.0,11.0,Research & Development,8,Secondary,Medical,1.0,High,2,2,Single,8402.0,frequent,Very High,Laboratory Technician,8,28,Female,0.0,1,Better,No,Very High,11,80,High,0
366,Y,58,Medium,0.0,3.0,Research & Development,2,Master,Life Sciences,3.0,High,2,0,Married,12295.0,rare,High,Healthcare Representative,2,18,Male,0.0,1,Better,Yes,High,3,80,Very High,0
367,Y,47,High,3.0,4.0,Human Resources,3,Bachelor,Life Sciences,3.0,Low,3,0,Married,5363.0,rare,Very High,Human Resources,0,25,Female,2.0,1,Best,No,High,8,80,High,0
368,Y,34,High,1.0,2.0,Research & Development,2,Master,Life Sciences,4.0,Medium,1,0,Married,11303.0,rare,High,Research Scientist,2,14,Female,1.0,1,Good,No,Very High,2,80,High,0
369,Y,39,Very High,2.0,7.0,Research & Development,8,Master,Life Sciences,5.0,Medium,2,4,Married,10946.0,frequent,High,Manufacturing Director,3,11,Male,1.0,0,Better,No,High,9,80,Low,0
370,Y,63,Very High,7.0,2.0,Human Resources,2,Secondary,Medical,5.0,High,1,1,Married,19203.0,rare,High,Human Resources,2,19,Male,0.0,1,Good,No,High,6,80,Medium,0
371,Y,44,Very High,0.0,5.0,Research & Development,4,Master,Technical Degree,23.0,Medium,2,0,Married,3759.0,frequent,High,Healthcare Representative,5,11,Female,3.0,3,Best,No,Very High,6,80,Very High,0
372,Y,26,High,1.0,4.0,Research & Development,3,Primary,Medical,1.0,Medium,1,0,Divorced,18919.0,frequent,High,Research Scientist,3,14,Female,2.0,4,Better,No,High,4,80,Low,0
373,Y,36,Medium,1.0,2.0,Research & Development,2,Master,Other,3.0,Medium,1,1,Married,19842.0,frequent,High,Laboratory Technician,2,14,Male,1.0,1,Best,No,Very High,2,80,Very High,0
374,Y,42,Very High,4.0,0.0,Sales,0,Master,Medical,1.0,High,2,0,Married,19046.0,frequent,High,Sales Executive,0,12,Male,3.0,1,Better,No,Medium,4,80,Medium,0
375,Y,44,Very High,1.0,,Research & Development,16,Secondary,,3.0,High,5,7,Married,4156.0,rare,High,Manager,19,11,Male,0.0,2,Better,No,Very High,20,80,High,0
376,Y,30,Low,3.0,6.0,Research & Development,8,Master,Life Sciences,23.0,High,1,0,Divorced,20155.0,rare,Very High,Research Scientist,5,26,Female,1.0,0,Better,No,Very High,10,80,High,0
377,Y,52,High,2.0,1.0,Research & Development,0,Secondary,Medical,3.0,Medium,5,0,Married,9377.0,rare,High,Manager,0,14,Male,1.0,1,Best,No,High,21,80,Low,0
378,Y,36,Medium,5.0,9.0,Sales,9,Master,Life Sciences,2.0,High,3,0,Divorced,5520.0,rare,High,Sales Executive,10,14,Male,1.0,1,Better,No,Very High,11,80,Very High,0
379,Y,31,Low,2.0,6.0,Sales,8,Secondary,Marketing,12.0,Medium,3,0,Divorced,2816.0,rare,High,Sales Executive,7,11,Male,,1,Better,No,Low,11,80,High,0
380,Y,45,Medium,1.0,8.0,Research & Development,0,Master,Life Sciences,8.0,Medium,2,0,Divorced,5095.0,frequent,High,Laboratory Technician,7,11,Female,1.0,2,Best,No,High,8,80,High,0
381,Y,48,High,2.0,3.0,Sales,2,Bachelor,Marketing,8.0,Medium,3,0,Married,8970.0,rare,High,Sales Executive,2,22,Female,1.0,2,Better,Yes,Very High,13,80,High,0
382,Y,33,High,1.0,12.0,Sales,9,Master,Medical,3.0,Low,3,6,Married,19316.0,rare,High,Sales Executive,8,11,Male,0.0,1,Good,No,Very High,13,80,Very High,1
383,Y,41,High,6.0,3.0,Research & Development,2,Master,Medical,1.0,High,1,0,Divorced,11768.0,rare,High,Laboratory Technician,2,15,Female,3.0,0,Better,No,High,6,80,High,0
384,Y,35,High,1.0,10.0,Research & Development,10,Bachelor,Life Sciences,2.0,High,2,4,Divorced,14611.0,rare,High,Research Scientist,8,12,Female,1.0,1,Better,No,Medium,10,80,Very High,0
385,Y,57,High,,1.0,Research & Development,0,Master,Life Sciences,7.0,High,2,0,Single,17585.0,rare,High,Laboratory Technician,0,11,Female,0.0,2,Better,No,High,17,80,High,0
386,Y,27,High,2.0,4.0,Research & Development,2,Bachelor,Medical,1.0,High,1,0,Single,5146.0,frequent,High,Research Scientist,2,14,Male,0.0,0,Good,No,Very High,5,80,Very High,0
387,Y,37,High,1.0,6.0,Research & Development,8,Master,Life Sciences,5.0,Low,1,0,Divorced,5559.0,rare,High,Laboratory Technician,7,15,Male,1.0,3,Better,No,High,6,80,High,0
388,Y,36,High,2.0,2.0,Research & Development,2,Master,Life Sciences,1.0,Very High,1,1,Single,10232.0,rare,High,Research Scientist,2,14,Female,0.0,0,Better,No,High,6,80,Very High,0
389,Y,26,Low,1.0,7.0,Research & Development,8,Secondary,Medical,4.0,Medium,1,0,Married,15748.0,frequent,High,Research Scientist,7,15,Female,1.0,1,Better,Yes,High,7,80,High,1
390,Y,32,Very High,1.0,4.0,Research & Development,3,Primary,Life Sciences,22.0,High,1,2,Divorced,11589.0,rare,High,Research Scientist,2,19,Male,1.0,0,Good,No,High,4,80,Low,0
391,Y,43,Low,2.0,5.0,Research & Development,3,Bachelor,Life Sciences,18.0,High,2,2,Divorced,10705.0,frequent,High,Research Scientist,2,15,Female,2.0,3,Good,Yes,Very High,11,80,Very High,0
392,Y,54,Medium,2.0,4.0,Research & Development,3,Secondary,Technical Degree,8.0,Medium,4,0,Single,18319.0,rare,High,Manufacturing Director,2,18,Female,0.0,0,Good,No,Medium,26,80,Very High,0
393,Y,46,High,6.0,20.0,Sales,10,Bachelor,Marketing,4.0,High,5,2,Married,6928.0,rare,High,Manager,10,11,Male,1.0,4,Better,No,Medium,24,80,Medium,0
394,Y,41,High,6.0,4.0,Research & Development,2,Primary,Medical,8.0,High,3,1,Single,6320.0,rare,Very High,Research Director,3,25,Male,0.0,2,Better,No,High,8,80,High,0
395,Y,29,Medium,0.0,4.0,Research & Development,0,Bachelor,Medical,23.0,Low,2,0,Divorced,15430.0,rare,Very High,Manufacturing Director,3,25,Female,1.0,4,Good,No,Low,5,80,Medium,0
396,Y,43,Low,2.0,7.0,Research & Development,8,Master,Other,1.0,Medium,2,0,Single,2108.0,no travel,High,Healthcare Representative,7,19,Female,0.0,2,Better,Yes,High,9,80,Low,0
397,Y,32,Medium,0.0,8.0,Research & Development,8,Bachelor,Medical,4.0,High,2,0,Single,3324.0,no travel,High,Manufacturing Director,4,22,Male,0.0,1,Better,No,Low,9,80,Medium,0
398,Y,53,Medium,3.0,1.0,Research & Development,0,Bachelor,Life Sciences,8.0,High,1,0,Married,15216.0,rare,High,Laboratory Technician,0,21,Male,0.0,4,Better,No,Very High,7,80,Low,0
399,Y,34,High,1.0,5.0,Sales,2,Bachelor,Life Sciences,13.0,High,2,0,Divorced,12286.0,no travel,Very High,Sales Executive,5,31,Female,,1,Better,Yes,Very High,6,80,High,0
400,Y,39,Very High,6.0,0.0,Research & Development,0,Secondary,Medical,3.0,High,1,0,Married,19580.0,rare,High,Laboratory Technician,0,22,Female,1.0,4,Good,No,High,6,80,Very High,0
401,Y,26,Low,0.0,6.0,Research & Development,8,Bachelor,Other,5.0,Very High,1,4,Married,5731.0,frequent,High,Laboratory Technician,7,21,Male,1.0,2,Better,No,Very High,7,80,High,0
402,Y,36,Very High,5.0,2.0,Sales,2,Secondary,Medical,12.0,Low,2,1,Divorced,16619.0,rare,High,Sales Executive,2,15,Male,2.0,1,Good,Yes,Very High,6,80,Low,1
403,Y,37,High,2.0,5.0,Research & Development,1,Master,Other,6.0,High,1,0,Single,17487.0,rare,High,Research Scientist,2,21,Male,0.0,4,Better,No,Very High,7,80,Medium,0
404,Y,59,Medium,2.0,4.0,Research & Development,3,Bachelor,Medical,8.0,High,1,0,Married,9399.0,frequent,High,Research Scientist,4,22,Female,1.0,3,Better,No,High,16,80,Low,0
405,Y,43,High,2.0,8.0,Sales,8,Primary,Life Sciences,8.0,High,3,0,Divorced,15964.0,rare,High,Sales Executive,7,14,Male,1.0,1,Better,Yes,High,11,80,High,0
406,Y,53,High,2.0,2.0,Research & Development,2,Bachelor,,1.0,High,4,1,Married,7465.0,frequent,Very High,Manager,2,26,Female,1.0,2,Better,No,Low,29,80,Very High,0
